epoch,test_acc,train_loss_updated,test_loss
0.0,0.1639,2.291954116344452,0.07109895884990693
1.0,0.29,2.2531032889684046,0.06983753645420074
2.0,0.4151,2.212801661094029,0.06848511452674866
3.0,0.5319,2.168260478655497,0.06696257848739624
4.0,0.6084,2.1173927590449657,0.0652133881688118
5.0,0.648,2.058649182955424,0.06319683604240417
6.0,0.6714,1.9910934775670368,0.0608962651014328
7.0,0.6918,1.9144962231318154,0.05830516927242279
8.0,0.7083,1.8289405649503072,0.05543892592191696
9.0,0.7212,1.7352097291946413,0.05234367173910141
10.0,0.7343,1.6355913469791412,0.04910205134153366
11.0,0.7445,1.5328562892278035,0.04582187297344208
12.0,0.7534,1.4305149108966189,0.042616029596328736
13.0,0.7666,1.331899431149165,0.039582133758068086
14.0,0.7776,1.2398588203787806,0.03679048172831535
15.0,0.7877,1.1558515676657357,0.03428538630604744
16.0,0.7963,1.0807600604097047,0.032061278611421586
17.0,0.8054,1.0143256716132165,0.030098219799995423
18.0,0.8136,0.9555491194128989,0.028374186918139456
19.0,0.82,0.9039784865975381,0.026860907676815985
20.0,0.8265,0.858458954304457,0.025529646888375283
21.0,0.8317,0.818475397626559,0.024356052795052527
22.0,0.8352,0.7827818082869052,0.02331243177652359
23.0,0.8409,0.7511953022380667,0.02237921667098999
24.0,0.8456,0.7229091255366802,0.0215412336319685
25.0,0.8505,0.6974384249150754,0.0207894100651145
26.0,0.8534,0.6744610324303308,0.020111915077269078
27.0,0.8562,0.6535887677073479,0.019494301626086234
28.0,0.8596,0.6346459327439468,0.018932453036308288
29.0,0.8629,0.6174069048166275,0.018423015075922013
30.0,0.8651,0.6016766656190158,0.017949455162882804
31.0,0.8677,0.5871763216704131,0.01751404149979353
32.0,0.8707,0.573757695873578,0.017113522936403752
33.0,0.8721,0.561343517874678,0.01674247425943613
34.0,0.8739,0.5499420210172732,0.016400161783397198
35.0,0.8756,0.5392790477623542,0.016079699391126634
36.0,0.8781,0.5293942092110713,0.015782758212089538
37.0,0.8789,0.5201828046987453,0.015507793363928796
38.0,0.8814,0.5116100016087294,0.015248585717380046
39.0,0.8825,0.5034745550105968,0.01500751135274768
